Unnamed: 0,title,genres
167,good intentions,"{'contemporary', 'romance', 'crime', 'roman', 'mystery', 'suspense', 'mystery-thriller', 'amazon', 'fiction', 'realistic-fiction', 'thriller'}"
168,fairy gold,"{'adventure', 'picture-books', 'classics', 'animals', 'travel', 'fantasy', 'fiction', 'childrens', 'essays', 'coming-of-age', 'humor'}"
169,watchdogs,"{'adventure', 'middle-grade', 'teen', 'non-fiction', 'science-fiction', 'fantasy', 'fiction', 'childrens', 'dystopia', 'young-adult', 'thriller'}"
170,the bequest,"{'romance', 'historical-romance', 'family', 'literature', 'fiction', 'historical-fiction', 'contemporary-romance', 'drama', 'american', 'historical'}"
171,the guardian angel,"{'romance', 'fiction', 'historical-romance'}"
172,for better or worse,"{'romance', 'contemporary', 'novella', 'science-fiction', 'short-stories', 'fiction', 'contemporary-romance', 'lgbt'}"
173,ships company,"{'classics', 'comedy'}"
174,the aeroplane boys flight,"{'fiction', 'adventure'}"
175,french short stories,"{'classics', 'short-stories', 'unfinished', 'fiction'}"
176,a hidden life and other poems,"{'classics', 'poetry'}"
177,the positive school of criminology,"{'psychology', 'sociology', 'non-fiction'}"
178,uncle bernac,"{'adventure', 'history', 'mystery', 'classics', 'novella', 'travel', 'novels', 'fiction', 'historical-fiction', 'politics', 'war', 'historical'}"
179,for luncheon and supper guests,{'cookbooks'}
180,holland,"{'contemporary', 'crime', 'mystery', 'suspense', 'religion', 'mystery-thriller', 'novels', 'fiction', 'thriller'}"
181,my strangest case,"{'adventure', 'mystery', 'classics', 'mystery-thriller', 'fiction', '20th-century', 'thriller'}"
182,mike and psmith,"{'classics', 'novels', 'literature', 'fiction', 'comedy', 'historical-fiction', 'short-stories', '20th-century', 'school', 'sports', 'childrens', 'historical', 'humor'}"
183,the world set free,"{'literary-fiction', 'history', 'classics', 'science-fiction', 'fantasy', 'novels', 'literature', 'fiction', 'politics', 'war', 'science', 'dystopia', 'amazon', 'speculative-fiction', '20th-century', 'philosophy'}"
184,lady mary wortley montague,"{'biography', 'travel', 'non-fiction'}"
185,adventures in friendship,"{'classics', 'fiction', 'biography'}"
186,great possessions,{'american'}
187,four early pamphlets,"{'history', 'classics', 'philosophy', 'fiction', 'politics', 'essays'}"
188,lives of poets v,"{'history', 'biography', 'writing', 'classics', 'literature', 'fiction', 'philosophy', '20th-century', 'essays', 'non-fiction', 'poetry'}"
189,lost in the air,"{'classics', 'biography'}"
190,jungle tales of tarzan,"{'classics', 'science-fiction', 'comics', 'fantasy', 'graphic-novels'}"
191,the rangeland avenger,"{'adventure', 'classics', 'action', 'fiction', 'historical-fiction', '20th-century', 'non-fiction', 'american'}"
192,les affinites electives,"{'romance', 'literary-fiction', 'roman', 'classics', 'novels', 'literature', 'fiction', 'philosophy', '20th-century', 'love', 'unfinished'}"
193,adventures in contentment,"{'biography', 'classics', 'self-help', 'novels', 'philosophy', 'fiction', 'literature', 'essays', 'memoir', 'non-fiction', 'spirituality', 'american', 'humor'}"
194,the real mother goose,"{'picture-books', 'classics', 'animals', 'fantasy', 'literature', 'fiction', 'short-stories', 'childrens', 'young-adult', 'school', 'poetry', 'theology'}"
195,english literature,{'literature'}
196,myths and mythmakers,"{'history', 'reference', 'fantasy', 'mythology', 'literature', 'fiction', 'philosophy', 'science', 'non-fiction'}"
197,journals of elgin,{'history'}
198,supply and demand,"{'childrens', 'picture-books'}"
199,the theory of social revolutions,"{'history', 'sociology', 'philosophy', 'fiction', 'politics', '20th-century', 'non-fiction', 'american', 'historical'}"
200,humane understanding v,"{'philosophy', 'education', 'non-fiction'}"
201,within the deep,"{'action', 'crime', 'lgbt'}"
202,jesus says so,{'spirituality'}
203,an englishmans travels in america,"{'history', 'classics', 'travel', 'literature', 'fiction', 'non-fiction', 'historical'}"
204,beaumont and fletcher,"{'drama', 'plays'}"
205,birthright,"{'romance', 'contemporary', 'crime', 'mystery', 'suspense', 'family', 'chick-lit', 'mystery-thriller', 'novels', 'fiction', 'romantic-suspense', 'adult-fiction', 'thriller', 'contemporary-romance', 'adult', 'non-fiction', 'drama'}"
206,the lives of the poets of,"{'history', 'biography', 'writing', 'reference', 'literature', 'fiction', 'politics', '20th-century', 'non-fiction', 'poetry'}"
207,plays,"{'contemporary', 'crime', 'mystery', 'suspense', 'family', 'mystery-thriller', 'psychology', 'fiction', 'adult-fiction', 'relationships', 'thriller', 'adult', 'drama'}"
208,three john silence stories,"{'literary-fiction', 'horror', 'mystery', 'classics', 'paranormal', 'fantasy', 'fiction', 'historical-fiction', 'short-stories', 'supernatural', 'historical'}"
209,dictionary of middle english,"{'amazon', 'reference'}"
210,britain at bay,{'war'}
211,hallecks new english literature,"{'education', 'history'}"
212,the healthy life cook book d ed,"{'amazon', 'cookbooks'}"
213,towards the great peace,{'religion'}
214,the worlds greatest books,"{'literary-fiction', 'classics', 'reference', 'literature', 'fiction', 'amazon', 'short-stories', 'unfinished'}"
215,old english plays v,"{'literature', 'plays'}"
216,hilda lessways,"{'classics', 'science-fiction', 'novels', 'literature', 'fiction', 'love', '20th-century', 'historical-fiction', 'unfinished', 'relationships'}"
217,three more john silence stories,"{'literary-fiction', 'horror', 'mystery', 'classics', 'paranormal', 'fantasy', 'fiction', 'historical-fiction', 'short-stories', 'supernatural', 'historical'}"
218,lives of the english poets,"{'history', 'biography', 'classics', 'literature', 'fiction', '20th-century', 'non-fiction', 'poetry', 'art'}"
219,the night land,"{'romance', 'adventure', 'horror', 'classics', 'novella', 'science-fiction', 'fantasy', 'novels', 'literature', 'fiction', '20th-century', 'dystopia', 'speculative-fiction', 'unfinished', 'supernatural'}"
220,specialiteiten,{'literature'}
221,ninon de lenclos,{'feminism'}
222,the war and democracy,"{'classics', 'fiction'}"
223,general grant vol i,{'historical'}
224,with zola in england,"{'20th-century', 'non-fiction'}"
225,game and playe of the chesse,"{'history', 'classics', 'fiction', '20th-century', 'non-fiction'}"
226,principal navigations v,{'adventure'}
227,how to use your mind,"{'education', 'self-help', 'reference', 'psychology', 'fiction', 'non-fiction'}"
228,pebbles on the shore,"{'classics', 'literature', 'short-stories', 'war', 'non-fiction', 'theology'}"
